id,division id,division name,game id,date,start time,end time,field id,field name,home id,home name,home score,away id,away name,away score
164246,4285,U11/U12 Coed,,10/28/2023,08:30,10:00,452381,Robious Middle School 6 9v9,122701,U11U12C Team Hanger/Schirmer,,122698,U11U12C Team Roberts/Waggener,
164247,4285,U11/U12 Coed,,10/28/2023,11:30,13:00,452381,Robious Middle School 6 9v9,122700,U11U12C Team Raible/Pompello,,125925,U11U12C Team Gates,
164248,4285,U11/U12 Coed,,10/28/2023,14:45,16:15,439435,Horner Park 9,128778,U11U12C SOUTH Team Allen/Moffett,,131093,U11U12C SOUTH Team Mead,
164249,4285,U11/U12 Coed,,10/28/2023,13:00,14:30,452381,Robious Middle School 6 9v9,122726,U11U12C Team Ryan/Hennesey,,122697,U11U12C Team Fuller/Burgess,
164250,4285,U11/U12 Coed,,10/28/2023,16:00,17:30,452381,Robious Middle School 6 9v9,122699,U11U12C Team Bowser/Duncan,,122740,U11U12C Team Lassiter,
163591,4274,U5 Girls,,9/9/2023,10:30,11:30,454843,Robious Middle School 9D 3v3,120941,U5G Team Rocawich,,121206,U5G Team Peltz/Harrell,
163592,4274,U5 Girls,,9/9/2023,11:30,12:30,454843,Robious Middle School 9D 3v3,128638,U5G Team Ahmad,,121205,U5G Team Hester/Horgan,
163593,4274,U5 Girls,,9/16/2023,10:30,11:30,454843,Robious Middle School 9D 3v3,121206,U5G Team Peltz/Harrell,,128638,U5G Team Ahmad,
163594,4274,U5 Girls,,9/16/2023,11:30,12:30,454843,Robious Middle School 9D 3v3,121205,U5G Team Hester/Horgan,,120941,U5G Team Rocawich,
163595,4274,U5 Girls,,9/23/2023,11:30,12:30,454843,Robious Middle School 9D 3v3,128638,U5G Team Ahmad,,120941,U5G Team Rocawich,
163596,4274,U5 Girls,,9/23/2023,10:30,11:30,454843,Robious Middle School 9D 3v3,121206,U5G Team Peltz/Harrell,,121205,U5G Team Hester/Horgan,
163597,4274,U5 Girls,,9/30/2023,10:30,11:30,454843,Robious Middle School 9D 3v3,120941,U5G Team Rocawich,,128638,U5G Team Ahmad,
163598,4274,U5 Girls,,9/30/2023,11:30,12:30,454843,Robious Middle School 9D 3v3,121205,U5G Team Hester/Horgan,,121206,U5G Team Peltz/Harrell,
163599,4274,U5 Girls,,10/7/2023,10:30,11:30,454843,Robious Middle School 9D 3v3,128638,U5G Team Ahmad,,121206,U5G Team Peltz/Harrell,
163600,4274,U5 Girls,,10/7/2023,11:30,12:30,454843,Robious Middle School 9D 3v3,120941,U5G Team Rocawich,,121205,U5G Team Hester/Horgan,
163601,4274,U5 Girls,,10/14/2023,10:30,11:30,454843,Robious Middle School 9D 3v3,121206,U5G Team Peltz/Harrell,,120941,U5G Team Rocawich,
